asdf_id,worldpop_pop_count_1km_mosaic.2020.sum,worldpop_pop_count_1km_mosaic.2020.count,gpw_v4_rev11_density.2020.count,gpw_v4_rev11_density.2020.mean,gpw_v4_rev11_density.2020.max,gpw_v4_rev11_density.2020.min,gdp_grid.none.sum,gdp_grid.none.mean,gdp_grid.none.max,gdp_grid.none.min,distance_to_gemdata_201708.none.mean,distance_to_gemdata_201708.none.max,distance_to_gemdata_201708.none.min,dist_to_onshore_petroleum_v12.none.mean,dist_to_onshore_petroleum_v12.none.max,dist_to_onshore_petroleum_v12.none.min,accessibility_to_cities_2015_v1.0.mean,accessibility_to_cities_2015_v1.0.max,accessibility_to_cities_2015_v1.0.min,access_50k.none.mean,access_50k.none.max,access_50k.none.min,Level,gqid,id,shapeGroup,shapeID,shapeISO,shapeName,shapeType
0,8877142.0,2737.96020508,2738.51000977,4696.5354861,12698.4052734,56.6969261169,261664.21875,95.8294368088,605.280578613,0.0,57263.3277292,107482.653041,24558.1137742,211456.976967,251481.157194,188646.869785,1.45771499509,21.0,0.0,16.4286715618,214.0,0.0,ADM1,0,0,JPN,JPN-ADM1-47310658B47245602,JP-27,Osaka Prefecture,ADM1
1,1131853.125,8890.20019531,8891.12109375,179.719514291,1205.99169922,0.0,43226.5546875,4.89295100168,145.396652222,0.0,94040.071135,135921.295539,52874.7855187,124631.715581,184496.507201,74111.3122597,21.0686654537,84.0,0.0,76.012231334,376.0,0.0,ADM1,1,1,JPN,JPN-ADM1-47310658B1838805,JP-44,Oita,ADM1
2,5430271.0,12013.4804688,12013.3398438,649.354582807,12698.4003906,17.6836109161,192420.328125,16.1262505016,263.943634033,0.0,110882.163813,161176.256383,47413.582544,276735.922813,329167.968064,214004.947716,17.5568544242,69.0,0.0,64.1562788004,302.0,0.0,ADM1,2,2,JPN,JPN-ADM1-47310658B33251654,JP-28,Hyogo Prefecture,ADM1
3,764296.75,6074.59960938,6075.26025391,180.128802185,744.362121582,14.5527858734,38582.7460938,6.37003905373,127.739227295,0.0,73509.4409775,117757.690996,24771.924395,180541.914415,233613.546418,137282.511512,24.3699304608,124.0,0.0,92.4533969944,555.0,0.0,ADM1,3,3,JPN,JPN-ADM1-47310658B9129082,JP-18,Fukui Prefecture,ADM1
4,1473250.125,4956.08007812,5758.27978516,378.032687899,3035.32226562,0.0,68975.2734375,12.0174032293,140.875488281,0.0,19633.9698662,52110.5232185,0.0,164570.940393,199746.927319,130873.791204,16.570365463,84.0,0.0,44.1679413034,541.0,0.0,ADM1,4,4,JPN,JPN-ADM1-47310658B98690773,JP-25,Shiga,ADM1
5,1360989.875,5239.68017578,5239.78027344,360.692287931,7724.88134766,2.36949896812,49352.5234375,9.44187396305,134.723342896,0.0,67222.870251,120522.584128,18614.8955789,182598.709175,218693.56028,145509.647929,23.2635304563,126.0,0.0,79.8314796189,385.0,0.0,ADM1,5,5,JPN,JPN-ADM1-47310658B83352403,JP-29,Nara Prefecture,ADM1
6,2029272.375,15307.2207031,15307.25,188.084807288,3452.00561523,2.90128326416,112438.226562,7.39031283407,167.493301392,0.0,55423.6422855,109765.95353,0.0,112505.306404,177948.865884,55782.7722202,29.128155598,198.0,0.0,102.919380494,694.0,0.0,ADM1,6,6,JPN,JPN-ADM1-47310658B42450327,JP-21,Gifu Prefecture,ADM1
7,1790671.125,8251.70996094,8251.88964844,308.719531263,1527.35388184,0.0,84734.0078125,10.2799275695,157.640716553,0.0,34012.0059756,108611.810009,0.0,135736.501263,201131.26142,83137.2693821,19.8824561885,129.0,0.0,66.9166749538,416.0,0.0,ADM1,7,7,JPN,JPN-ADM1-47310658B20799871,JP-24,Mie Prefecture,ADM1
8,906338.375,6687.47949219,6687.46972656,196.124311941,2017.43225098,3.17718267441,37778.8828125,5.68197993968,175.407073975,0.0,118820.321462,162124.470964,66214.2550559,227444.719829,266487.017222,179531.985086,36.3511921181,126.0,0.0,76.9943665649,387.0,0.0,ADM1,8,8,JPN,JPN-ADM1-47310658B43088186,JP-30,Wakayama Prefecture,ADM1
9,14311934.9476,3108.55004358,3109.7100091,6523.54910198,23154.8984375,0.0,255838.550769,80.4634277839,449.683563232,0.0,165495.556554,1838962.21125,53148.7355534,77282.0129804,1782125.92988,0.0,160.22570605,5811.0,0.0,95.9869501576,2383.0,0.0,ADM1,9,9,JPN,JPN-ADM1-47310658B83462002,JP-13,Tokyo,ADM1
